Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40607194,East of Eden,John Steinbeck,"Steinbeck, John",,"=""""","=""""",0,4.44,Penguin,Paperback,602,2000,1952,,2025/05/17,to-read,to-read (#177),to-read,,,,0,0
61173877,You're The Only One I've Told,Meera Shah,"Shah, Meera",,"=""1641603666""","=""9781641603669""",0,4.43,Chicago Review Press,Kindle Edition,308,2020,2020,,2025/05/17,to-read,to-read (#176),to-read,,,,0,0
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0735223718""","=""9780735223714""",0,4.68,Viking,ebook,384,2019,2019,,2025/05/17,to-read,to-read (#175),to-read,,,,0,0
210246742,"Abortion: Our Bodies, Their Lies, and the Truths We Use to Win",Jessica Valenti,"Valenti, Jessica",,"=""0593800230""","=""9780593800232""",0,4.69,Crown,Hardcover,256,2024,2024,,2025/05/17,to-read,to-read (#174),to-read,,,,0,0
35036409,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",0,4.05,Penguin Random House ,Paperback,331,2012,2011,,2025/05/17,to-read,to-read (#173),to-read,,,,0,0
41880092,The Undocumented Americans,Karla Cornejo Villavicencio,"Villavicencio, Karla Cornejo",,"=""0399592687""","=""9780399592683""",0,4.37,One World,Hardcover,208,2020,2020,,2025/05/17,to-read,to-read (#172),to-read,,,,0,0
24728470,M Train,Patti Smith,"Smith, Patti",,"=""1101875100""","=""9781101875100""",0,4.02,Knopf,Hardcover,256,2015,2015,,2025/05/17,to-read,to-read (#171),to-read,,,,0,0
56199402,"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",Patrick King,"King, Patrick",,"=""""","=""""",0,3.42,Big Mind LLC,Kindle Edition,277,2020,2020,2025/05/17,2025/05/17,summary-read,summary-read (#12),read,,,,1,0
167129384,"Law: A Very Short Introduction Publisher: Oxford University Press, USA",Raymond Wacks,"Wacks, Raymond",,"=""""","=""""",0,3.64,,Paperback,0,2007,2008,,2025/05/16,to-read,to-read (#170),to-read,,,,0,0
58612786,$100M Offers: How To Make Offers So Good People Feel Stupid Saying No,Alex Hormozi,"Hormozi, Alex",,"=""1737475707""","=""9781737475705""",0,4.56,,Kindle Edition,155,2021,2021,,2025/05/08,"to-read, summary-tbr","to-read (#168), summary-tbr (#6)",to-read,,,,0,0
15704926,Love Yourself Like Your Life Depends on It,Kamal Ravikant,"Ravikant, Kamal",,"=""1478121734""","=""9781478121732""",0,3.87,CreateSpace,Paperback,59,2012,2012,,2025/05/08,to-read,to-read (#169),to-read,,,,0,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",0,4.16,Free Press,Paperback,372,2004,1989,,2025/04/02,"to-read, summary-tbr","to-read (#117), summary-tbr (#5)",to-read,,,,0,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.27,Del Rey,Hardcover,382,2014,2014,,2025/05/08,to-read,to-read (#167),to-read,,,,0,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",0,4.10,Time Warner Books UK,Paperback,195,2001,1997,2025/05/05,2025/05/08,summary-read,summary-read (#11),read,,,,1,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",0,4.28,Penguin Books,Paperback,254,2006,180,,2025/04/19,to-read,to-read (#166),to-read,,,,0,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,4.22,Gallery Books,Paperback,288,1998,1936,,2025/04/19,"to-read, summary-tbr","to-read (#158), summary-tbr (#4)",to-read,,,,0,0
774088,Difficult Conversations: How to Discuss What Matters Most,Douglas Stone,"Stone, Douglas","Bruce Patton, Sheila Heen, Roger Fisher","=""014028852X""","=""9780140288520""",0,4.07,Penguin Books,Paperback,250,2000,1999,,2025/04/19,"to-read, summary-tbr","to-read (#162), summary-tbr (#3)",to-read,,,,0,0
52766000,Big Friendship: How We Keep Each Other Close,Aminatou Sow,"Sow, Aminatou",Ann Friedman,"=""1982111909""","=""9781982111908""",0,3.74,Simon  Schuster,Hardcover,256,2020,2020,,2025/04/19,"to-read, summary-tbr","to-read (#163), summary-tbr (#2)",to-read,,,,0,0
17331360,The Art of Communicating,Thich Nhat Hanh,"Hanh, Thich Nhat",,"=""0062224689""","=""9780062224682""",0,4.11,HarperOne,ebook,176,2013,2013,,2025/04/19,to-read,to-read (#164),to-read,,,,0,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",0,4.05,St. Martin's Press,Hardcover,336,2017,2017,,2025/04/19,"to-read, summary-tbr","to-read (#165), summary-tbr (#1)",to-read,,,,0,0
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""052553654X""","=""""",0,4.05,Portfolio,Kindle Edition,302,2019,2019,,2025/04/19,to-read,to-read (#161),to-read,,,,0,0
40940205,Tribe: On Homecoming and Belonging,Sebastian Junger,"Junger, Sebastian",,"=""""","=""""",0,4.02,Twelve,Kindle Edition,182,2016,2016,,2025/04/19,to-read,to-read (#160),to-read,,,,0,0
